cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/0017-1/{02EAC8C0-8A00-4CE3-96C0-59EF3A724D3A}IMG100.JPG,The Inheritance Games,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9781368053242,"December 03, 2022 15:59",Returned, 10 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0174-1/{FD561CEF-0554-4F97-BA7D-AFEFAC15B30D}Img100.jpg,Five Total Strangers,Natalie D. Richards,Sourcebooks,9781492657224,"December 03, 2022 15:59",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{D101C7AD-39B9-4478-822F-25A1ADE8683A}IMG100.JPG,Rogue Protocol,Martha Wells,"Recorded Books, Inc.",9781501999796,"December 03, 2022 05:16",Returned, 9 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"December 02, 2022 02:01",Returned, 16 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"December 02, 2022 02:00",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{B462AC21-6327-4E02-8512-6B96782F087B}IMG100.JPG,Fugitive Telemetry,Martha Wells,"Recorded Books, Inc.",9781980080633,"December 01, 2022 17:03",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{937D1040-5B83-4F36-B623-3710EF53E5B5}IMG100.JPG,Network Effect,Martha Wells,"Recorded Books, Inc.",9781980021711,"December 01, 2022 17:03",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"November 27, 2022 16:54",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{30D8C23A-48DA-4E98-8034-C7C8AFDD81C6}IMG100.JPG,The Hawthorne Legacy,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9780759557642,"November 27, 2022 05:27",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{3E34E5ED-11B8-43B4-B838-621F65940A94}Img100.jpg,Gulp,Mary Roach,"Tantor Media, Inc.",9781452683423,"November 24, 2022 18:56",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{02EAC8C0-8A00-4CE3-96C0-59EF3A724D3A}IMG100.JPG,The Inheritance Games,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9781368053242,"November 23, 2022 01:12",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{D101C7AD-39B9-4478-822F-25A1ADE8683A}IMG100.JPG,Rogue Protocol,Martha Wells,"Recorded Books, Inc.",9781501999796,"November 22, 2022 00:51",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"November 22, 2022 00:51",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{B1C350B4-AE25-4202-9B05-11DE643E8A40}Img100.jpg,Iron Widow,Xiran Jay Zhao,Tundra Book Group,9780735269941,"November 19, 2022 02:36",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0F9A352C-CEC8-4C21-A678-CB631612897C}IMG100.JPG,Beyond the Wand,Tom Felton,Grand Central Publishing,9781538741382,"November 17, 2022 01:40",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{89982688-BBA9-4BB4-A815-5848EBC17F29}Img100.jpg,The Great Alone,Kristin Hannah,Macmillan Audio,9781427287540,"November 17, 2022 01:40",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{30D8C23A-48DA-4E98-8034-C7C8AFDD81C6}IMG100.JPG,The Hawthorne Legacy,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9780759557642,"November 15, 2022 05:32",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0174-1/{FD561CEF-0554-4F97-BA7D-AFEFAC15B30D}Img100.jpg,Five Total Strangers,Natalie D. Richards,Sourcebooks,9781492657224,"November 15, 2022 05:30",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"November 14, 2022 16:27",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"November 12, 2022 23:57",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"November 09, 2022 05:53",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"November 09, 2022 05:52",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{02EAC8C0-8A00-4CE3-96C0-59EF3A724D3A}IMG100.JPG,The Inheritance Games,Jennifer Lynn Barnes,"Little, Brown Books for Young Readers",9781368053242,"October 29, 2022 21:45",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0F9A352C-CEC8-4C21-A678-CB631612897C}IMG100.JPG,Beyond the Wand,Tom Felton,Grand Central Publishing,9781538741382,"October 29, 2022 21:21",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"October 29, 2022 14:56",Returned, 15 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{89982688-BBA9-4BB4-A815-5848EBC17F29}Img100.jpg,The Great Alone,Kristin Hannah,Macmillan Audio,9781427287540,"October 29, 2022 14:55",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"October 24, 2022 16:27",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{416729FE-7FE4-43A5-84EC-10896FAA9FC4}IMG100.JPG,All Systems Red,Martha Wells,"Recorded Books, Inc.",9781501977824,"October 24, 2022 13:42",Returned, 4 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"October 24, 2022 13:41",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{D101C7AD-39B9-4478-822F-25A1ADE8683A}IMG100.JPG,Rogue Protocol,Martha Wells,"Recorded Books, Inc.",9781501999796,"October 22, 2022 23:57",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{7CBFB589-F059-46B8-A33C-247D3F2A1DA3}IMG100.JPG,Artificial Condition,Martha Wells,"Recorded Books, Inc.",9781501977831,"October 22, 2022 23:57",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"October 22, 2022 04:00",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{0F9A352C-CEC8-4C21-A678-CB631612897C}IMG100.JPG,Beyond the Wand,Tom Felton,Grand Central Publishing,9781538741382,"October 20, 2022 19:19",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"October 20, 2022 01:17",Returned, 19 hours  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"October 20, 2022 01:16",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2389-1/{6A600B7A-AFDA-4F0F-A32C-5BE178267B0E}Img100.jpg,Pride and Prejudice,Jane Austen,Duke Classics,"","October 20, 2022 01:16",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{5F259804-BCE3-42D9-A374-1D18FAEA34B3}Img100.jpg,"Harry, a History",Melissa Anelli,"Tantor Media, Inc.",9781400181629,"October 14, 2022 15:23",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.","","October 12, 2022 04:48",Returned,on due date,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2390-1/{2E557006-D7B5-4B7D-AC97-7B28A9B430F2}IMG100.JPG,The Great Alone,Kristin Hannah,St. Martin's Publishing Group,9781250165619,"October 08, 2022 17:25",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{89982688-BBA9-4BB4-A815-5848EBC17F29}Img100.jpg,The Great Alone,Kristin Hannah,Macmillan Audio,9781427287540,"October 08, 2022 17:25",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{8809BC36-EB29-4964-B022-D2A68D9F3445}IMG100.JPG,The Poppy War,R. F. Kuang,HarperAudio,9780062848789,"October 08, 2022 05:25",Returned, 6 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1694-1/{416729FE-7FE4-43A5-84EC-10896FAA9FC4}IMG100.JPG,All Systems Red,Martha Wells,"Recorded Books, Inc.",9781501977824,"October 08, 2022 00:08",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0017-1/{C004A7DA-8984-43AE-8AB8-DAF199A8BE19}Img100.jpg,Life and Death,Stephenie Meyer,"Little, Brown Books for Young Readers",9780316557955,"October 06, 2022 21:00",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"October 06, 2022 16:05",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"October 06, 2022 16:04",Returned, 16 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"October 06, 2022 16:04",Returned, 14 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"October 06, 2022 16:04",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2389-1/{6A600B7A-AFDA-4F0F-A32C-5BE178267B0E}Img100.jpg,Pride and Prejudice,Jane Austen,Duke Classics,"","October 01, 2022 20:59",renew,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"October 01, 2022 20:59",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 29, 2022 20:37",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 29, 2022 20:37",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 29, 2022 20:36",Returned, 9 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 29, 2022 20:36",Returned, 8 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"September 29, 2022 20:33",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1523-1/{34885D6E-CC4F-4C1D-8ED1-8B23D0807BC4}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Penguin Publishing Group,9780593201251,"September 26, 2022 21:47",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"September 26, 2022 21:47",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{5F259804-BCE3-42D9-A374-1D18FAEA34B3}Img100.jpg,"Harry, a History",Melissa Anelli,"Tantor Media, Inc.",9781400181629,"September 23, 2022 15:23",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{8809BC36-EB29-4964-B022-D2A68D9F3445}IMG100.JPG,The Poppy War,R. F. Kuang,HarperAudio,9780062848789,"September 23, 2022 15:22",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/5054-1/{8A6C7499-FC93-4ACB-A72E-FF3A85DED1A6}IMG100.JPG,I'm Glad My Mom Died,Jennette McCurdy,Simon & Schuster Audio,9781797147949,"September 23, 2022 04:12",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1837-1/{484A05C8-0A4E-4D28-B7C9-0DDCFD2C77B8}Img100.jpg,Ballad of Songbirds and Snakes,Suzanne Collins,Scholastic Inc.,9781338635201,"September 22, 2022 18:40",Returned, 10 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.","","September 21, 2022 04:48",renew,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 18, 2022 14:50",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"September 16, 2022 20:56",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"September 16, 2022 20:56",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 16, 2022 20:55",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 16, 2022 20:55",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1837-1/{484A05C8-0A4E-4D28-B7C9-0DDCFD2C77B8}Img100.jpg,Ballad of Songbirds and Snakes,Suzanne Collins,Scholastic Inc.,9781338635201,"September 11, 2022 20:41",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2389-1/{6A600B7A-AFDA-4F0F-A32C-5BE178267B0E}Img100.jpg,Pride and Prejudice,Jane Austen,Duke Classics,"","September 11, 2022 20:40",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{C80F4803-3755-45C4-AFBD-68175C4A6C3D}Img100.jpg,Reckless Girls,Rachel Hawkins,Macmillan Audio,9781250835581,"September 11, 2022 19:21",Returned, 4 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"September 10, 2022 00:26",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"September 10, 2022 00:26",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"September 03, 2022 04:21",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.","","September 03, 2022 04:21",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"September 03, 2022 04:21",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{AE68A4DA-51F8-4BE3-B978-4F7E56D3A775}Img100.jpg,The Atlas Six,Olivie Blake,Macmillan Audio,9781250860460,"August 31, 2022 01:36",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.","","August 31, 2022 01:36",Returned, 2 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{D8605BF8-EEFF-4F8E-9FC4-D19E0DAE1653}Img100.jpg,The Neverending Story,Michael Ende,"Tantor Media, Inc.","","August 31, 2022 01:36",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1493-1/{C80F4803-3755-45C4-AFBD-68175C4A6C3D}Img100.jpg,Reckless Girls,Rachel Hawkins,Macmillan Audio,9781250835581,"August 26, 2022 02:43",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/2183-1/{0BF98E6F-A7E0-4127-9DE6-F37C0F147C7D}IMG100.JPG,Kingdom of Ash,Sarah J. Maas,Bloomsbury Publishing,9781619636118,"August 24, 2022 02:16",Placed on hold,"",Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0439-1/{5B6BB9CD-6C46-4ABB-9508-91909391AE03}Img100.jpg,This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",Gallery / Saga Press,9781534431010,"August 24, 2022 02:14",Returned, 20 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0439-1/{5B6BB9CD-6C46-4ABB-9508-91909391AE03}Img100.jpg,This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",Gallery / Saga Press,9781534431010,"August 24, 2022 02:13",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{B2DBD657-2223-4221-A0A1-8DBC9EDBAB51}Img100.jpg,Inheritance,Christopher Paolini,Books on Tape,9780739372494,"August 24, 2022 02:13",Returned, 8 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{46839368-0F48-40BC-B80B-34CE507E9409}Img100.jpg,Eldest,Christopher Paolini,Books on Tape,9780739338582,"August 24, 2022 02:13",Returned, 1 day  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/0293-1/{B8909201-82ED-469F-8371-5D0AAA679F4D}Img100.jpg,War Storm,Victoria Aveyard,HarperCollins,9780062841704,"August 24, 2022 02:12",Returned, 3 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1191-1/{6FDDBB54-9FE0-4C80-8E38-4035EB0DF636}Img100.jpg,"My Sister, the Serial Killer",Oyinkan Braithwaite,Books on Tape,9780525643289,"August 21, 2022 14:49",Returned, 16 days  early,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{2A8E1816-FC76-4609-922D-A0E0377A73C1}IMG100.JPG,Court,Tracy Wolff,"Tantor Media, Inc.",9781705276464,"August 21, 2022 14:49",Borrowed, 21 days ,Spokane Public Library
https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"August 21, 2022 14:49",Borrowed, 21 days ,Spokane Public Library
